iter	Passed	Remaining
0	3	357
1	7	360
2	10	336
3	13	334
4	17	334
5	21	334
6	24	328
7	27	316
8	30	305
9	32	295
10	35	286
11	38	282
12	41	276
13	43	269
14	46	263
15	49	258
16	51	252
17	54	249
18	57	245
19	60	241
20	63	237
21	65	232
22	68	228
23	71	226
24	74	223
25	77	221
26	80	217
27	82	213
28	84	205
29	87	203
30	90	200
31	92	196
32	95	193
33	97	190
34	100	186
35	103	184
36	106	180
37	108	177
38	111	174
39	114	171
40	116	167
41	119	165
42	122	162
43	124	159
44	127	156
45	130	152
46	132	149
47	136	147
48	138	144
49	141	141
50	144	138
51	146	135
52	149	132
53	153	130
54	155	127
55	158	124
56	160	121
57	163	118
58	166	115
59	169	113
60	173	110
61	175	107
62	178	104
63	181	101
64	184	99
65	187	96
66	189	93
67	192	90
68	195	87
69	197	84
70	200	82
71	203	79
72	206	76
73	208	73
74	211	70
75	213	67
76	216	64
77	219	61
78	222	59
79	224	56
80	227	53
81	230	50
82	233	47
83	235	44
84	238	42
85	241	39
86	243	36
87	246	33
88	249	30
89	252	28
90	254	25
91	257	22
92	260	19
93	262	16
94	265	13
95	269	11
96	272	8
97	274	5
98	277	2
99	280	0
