iter	Logloss
0	0.5864940166
1	0.5077346325
2	0.4509679794
3	0.4130612373
4	0.3718763828
5	0.3354698181
6	0.3054540634
7	0.2838119984
8	0.2653784037
9	0.2528908968
10	0.2444923639
11	0.2305119991
12	0.2228642941
13	0.2144853115
14	0.2069359779
15	0.1998609066
16	0.1940683007
17	0.1902560234
18	0.1862934709
19	0.182335639
20	0.1794535756
21	0.1752747774
22	0.1684458256
23	0.1645669222
24	0.1620436192
25	0.1596812606
26	0.1563189864
27	0.1543299437
28	0.1532865524
29	0.1520612717
30	0.1503546
31	0.1483479977
32	0.1471667051
33	0.1448459625
34	0.1428367257
35	0.1408082008
36	0.1390119076
37	0.1369107246
38	0.1341750741
39	0.1315158129
40	0.1299526095
41	0.1274914503
42	0.1255377531
43	0.1238007545
44	0.1213383079
45	0.1180915117
46	0.1165055275
47	0.1160950422
48	0.1147523284
49	0.1122848272
50	0.1091738462
51	0.1068273067
52	0.1049315214
53	0.1031574607
54	0.1008570194
55	0.09804832935
56	0.0949078083
57	0.09309884906
58	0.09057373405
59	0.08919928074
60	0.08845983148
61	0.08735295534
62	0.08600006104
63	0.08530774117
64	0.08274796009
65	0.08177030683
66	0.08100380301
67	0.08005849123
68	0.07963200212
69	0.07888227701
70	0.07717785835
71	0.07672557235
72	0.07522909641
73	0.07492436171
74	0.07445934415
75	0.07382069826
76	0.0718275547
77	0.07134396434
78	0.07086082101
79	0.07022410035
80	0.06916775107
81	0.06878672838
82	0.06857035756
83	0.06723778248
84	0.06685251594
85	0.06516234875
86	0.06372163296
87	0.06332088113
88	0.06285235882
89	0.06161866188
90	0.06082274914
91	0.05974575877
92	0.05879663229
93	0.05807135105
94	0.05753332973
95	0.05670023561
96	0.05658630133
97	0.05563567281
98	0.05550478697
99	0.05517426729
